rorg,rdes,UniqueCarrier
401508,493953,AirTran Airways Corporation                     
931511,1419182,Alaska Airlines Inc.                            
27053,35517,Aloha Airlines Inc.                             
1297552,1875072,America West Airlines Inc. (Merged with US Airwa
5660640,6348603,American Airlines Inc.                          
1103970,1381935,American Eagle Airlines Inc.                    
56744,85122,ATA Airlines d/b/a ATA                          
600943,700511,Atlantic Southeast Airlines                     
389455,564348,Comair Inc.                                     
2885846,3608468,Continental Air Lines Inc.                      
7643436,8405803,Delta Air Lines Inc.                            
210665,425634,Eastern Air Lines Inc.                          
656198,925346,Expressjet Airlines Inc.                        
121585,130685,Frontier Airlines Inc.                          
37433,54335,Hawaiian Airlines Inc.                          
215594,261794,Independence Air                                
295195,306979,JetBlue Airways                                 
218184,287006,Mesa Airlines Inc.                              
16597,29531,Midway Airlines Inc. (1)                        
2992681,4286483,Northwest Airlines Inc.                         
46500,47913,Pacific Southwest Airlines                      
73237,149805,Pan American World Airways (1)                  
558231,584091,Piedmont Aviation Inc.                          
108758,144283,Pinnacle Airlines Inc.                          
905793,1109752,Skywest Airlines Inc.                           
5617655,6133857,Southwest Airlines Co.                          
1265673,1738764,Trans World Airways LLC                         
5642185,5946671,United Air Lines Inc.                           
6504932,6520763,US Airways Inc. (Merged with America West 9/05. 
