UniqueCarrier,rorg,rdes
American Airlines Inc.,5293888,5925244
Aloha Airlines Inc.,14979,20824
Alaska Airlines Inc.,841883,1321819
JetBlue Airways,192462,190180
Continental Air Lines Inc.,2705773,3409713
Independence Air,215594,261794
Delta Air Lines Inc.,7412357,8118915
Eastern Air Lines Inc.,210665,425634
Atlantic Southeast Airlines,413621,507207
Frontier Airlines Inc.,61228,64913
AirTran Airways Corporation,266674,336686
Hawaiian Airlines Inc.,26264,35256
America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1297552,1875072
Midway Airlines Inc. (1),16597,29531
American Eagle Airlines Inc.,816287,1053727
Northwest Airlines Inc.,2796367,3987277
Comair Inc.,291340,409131
Skywest Airlines Inc.,619904,748168
Pan American World Airways (1),73237,149805
Piedmont Aviation Inc.,558231,584091
Pacific Southwest Airlines,46500,47913
Trans World Airways LLC,1265673,1738764
ATA Airlines d/b/a ATA,56744,85122
United Air Lines Inc.,5365447,5637477
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),6196936,6203358
Southwest Airlines Co.,4749594,5462240
Expressjet Airlines Inc.,443061,683541
Mesa Airlines Inc.,98536,126322
